단어1	단어2	작가	공기어 사용 빈도	가장 많이 투고한 잡지
비스마르크	청화	2	2	조양보
비스마르크	청화	5	2	조양보
비스마르크	청화	6	2	조양보
비스마르크	청화	7	2	조양보
비스마르크	청화	8	2	조양보
나폴레옹	제전	崔南善	16	소년
나폴레옹	제전	100	2	소년
세계	쾌소년	40	2	소년
세계	쾌소년	51	2	소년
세계	쾌소년	60	2	소년
세계	쾌소년	67	2	소년
세계	쾌소년	74	2	소년
세계	주유	40	2	소년
세계	주유	51	2	소년
세계	주유	60	2	소년
세계	주유	67	2	소년
세계	주유	74	2	소년
시보	주유	40	2	소년
시보	주유	51	2	소년
시보	주유	60	2	소년
시보	주유	67	2	소년
시보	주유	74	2	소년
로빈슨	무인절도	64	2	소년
로빈슨	무인절도	70	2	소년
로빈슨	무인절도	75	2	소년
로빈슨	무인절도	88	2	소년
로빈슨	무인절도	93	2	소년
무인절도	표류기	64	2	소년
무인절도	표류기	70	2	소년
무인절도	표류기	75	2	소년
무인절도	표류기	88	2	소년
무인절도	표류기	93	2	소년
교육	학교	金元祐	4	장학보
교육	학교	李弼夏	4	장학보
교육	학교	趙鏞周	4	장학보
교육	사회	金元祐	4	장학보
교육	사회	李弼夏	4	장학보
교육	사회	趙鏞周	4	장학보
애국	정신담	12	2	조양보
애국	정신담	14	2	조양보
애국	정신담	15	2	조양보
애국	정신담	17	2	조양보
