잡지	편수	비율
총 잡지 수	22	-
천도교회월보	768	0.5199729180771835
청춘	291	0.1970209884901828
태서문예신보	214	0.14488828706838186
반도시론	69	0.046716316858496955
조선불교총보	15	0.010155721056194989
유심	15	0.010155721056194989
새별	14	0.009478672985781991
동서의학보	13	0.008801624915368992
배달공론	12	0.008124576844955992
녹성	11	0.007447528774542992
신한청년	8	0.005416384563303994
조선문예(1917)	7	0.004739336492890996
서광	7	0.004739336492890996
선민	5	0.003385240352064997
신학지남	5	0.003385240352064997
조선불교계	5	0.003385240352064997
세텬사의 긔별	4	0.002708192281651997
불교진흥회월보	4	0.002708192281651997
신학세계	4	0.002708192281651997
주일학교연구	3	0.002031144211238998
서울	2	0.0013540961408259986
공도	1	0.0006770480704129993
