단어	품사	빈도
노래	일반명사	55
가을	일반명사	55
속	일반명사	52
사랑	일반명사	51
이야기	일반명사	45
세계	일반명사	45
처녀	일반명사	45
사람	일반명사	42
문학	일반명사	42
일	일반명사	41
봄	일반명사	39
시	일반명사	39
형	일반명사	39
밤	일반명사	38
선생	일반명사	36
이	일반명사	34
죽음	일반명사	32
꿈	일반명사	32
눈	일반명사	29
비	일반명사	29
아침	일반명사	28
눈물	일반명사	26
부인	일반명사	26
예술	일반명사	25
마음	일반명사	25
문단	일반명사	24
인생	일반명사	23
달	일반명사	22
사회	일반명사	22
날	일반명사	22
조선	고유명사	23
햄릿	고유명사	19
경성	고유명사	18
톨스토이	고유명사	13
서울	고유명사	13
시고	고유명사	12
아시시	고유명사	11
프란치스코	고유명사	11
프랑스	고유명사	10
독일	고유명사	10
일	고유명사	10
은파리	고유명사	10
중국	고유명사	10
러시아	고유명사	8
무극송	고유명사	8
문인인상	고유명사	7
동경	고유명사	7
크리스마스	고유명사	7
일본	고유명사	6
레닌	고유명사	6
무제	고유명사	6
월야	고유명사	6
달맞이	고유명사	6
금강산	고유명사	6
투르게네프	고유명사	5
미국	고유명사	5
표박	고유명사	5
해동명공유사	고유명사	5
파리	고유명사	5
후스	고유명사	5
보	동사	60
오	동사	49
하	동사	34
빨래하	동사	28
대하	동사	26
가	동사	24
계시	동사	22
되	동사	21
넘	동사	14
읽	동사	13
받	동사	12
죽	동사	12
알	동사	11
울	동사	11
생각하	동사	11
믿	동사	11
떠나	동사	10
건너	동사	10
서	동사	9
짓	동사	9
부르	동사	9
살	동사	9
지새	동사	9
돌아가	동사	8
날리	동사	8
보내	동사	7
사랑하	동사	7
찾	동사	7
모르	동사	7
맞	동사	7
없	형용사	20
크	형용사	14
있	형용사	13
희	형용사	11
어리	형용사	10
그립	형용사	9
작	형용사	8
위대하	형용사	7
게으르	형용사	6
불쌍하	형용사	5
젊	형용사	5
외롭	형용사	5
푸르	형용사	4
멀	형용사	4
거룩하	형용사	4
기쁘	형용사	4
어떻	형용사	4
기이하	형용사	4
애달프	형용사	3
아프	형용사	3
거칠	형용사	3
붉	형용사	3
귀하	형용사	3
깊	형용사	3
급하	형용사	3
검	형용사	3
끝없	형용사	3
많	형용사	3
괴롭	형용사	3
이렇	형용사	3
